Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
19/01/2024;INT RESGATE TRUST DI;Transferência para conta [14340-0];GRANT002.1.3.01.01;2002;DESPESA;19996.00;257563.40;C
31/01/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2750.70;260314.10;C
28/02/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2292.24;262606.34;C
31/03/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2316.60;264922.94;C
30/04/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2411.09;267334.03;C
31/05/2024;INT APLICACAO;Transferência para conta [14340-0];GRANT002.1.3.01.01;2002;RECEITA;5072.48;272406.51;C
31/05/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2536.25;274942.76;C
05/06/2024;INT RESGATE TRUST DI;Transferência para conta [14340-0];GRANT002.1.3.01.01;2002;DESPESA;16509.98;258432.78;C
30/06/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2145.02;260577.80;C
31/07/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2551.04;263128.84;C
06/08/2024;INT RESGATE TRUST DI;Transferência para conta [14340-0];GRANT002.1.3.01.01;2002;DESPESA;3440.85;259687.99;C
31/08/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2435.73;262123.72;C
30/09/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2236.91;264360.63;C
31/10/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2450.53;266811.16;C
12/11/2024;INT RESGATE TRUST DI;Transferência para conta [14340-0] - I NT RESGATE TRUST DI;GRANT002.1.3.01.01;2002;DESPESA;700.00;266111.16;C
30/11/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2153.83;268264.99;C
02/12/2024;INT RESGATE TRUST DI;Transferência para conta [14340-0] - I NT RESGATE TRUST DI;GRANT002.1.3.01.01;2002;DESPESA;700.00;267564.99;C
16/12/2024;INT RESGATE TRUST DI;Transferência para conta [14340-0] - I NT RESGATE TRUST DI;GRANT002.1.3.01.01;2002;DESPESA;1500.00;266064.99;C
31/12/2024;RENDIMENT O;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;GRANT001.1.3.01.02;2002;RECEITA;2211.68;268276.67;C
