Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
11/01/2024;INT APLICACAO;Transferência da conta [15002-5] - IN T APLICACAO TRUST DI;PROJ002.1.3.01.01;1042;RECEITA;100000.00;100000.00;C
31/01/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;324.26;100324.26;C
31/01/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;324.26;100648.53;C
28/02/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;443.14;101091.67;C
28/02/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;443.14;101534.81;C
25/03/2024;INT RESGATE;Transferência para conta [15002-5];PROJ001.1.3.01.01;1042;DESPESA;500.00;101034.81;C
25/03/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5];PROJ002.1.3.01.01;1042;DESPESA;11000.00;90034.81;C
31/03/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;440.72;90475.53;C
31/03/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;440.72;90916.25;C
30/04/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;413.71;91329.96;C
30/04/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;413.71;91743.68;C
31/05/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;435.20;92178.88;C
31/05/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;435.20;92614.08;C
28/06/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;380.54;92994.62;C
28/06/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;380.54;93375.16;C
15/07/2024;INT APLICACAO;Transferência da conta [15002-5] - IN T APLICACAO TRUST DI;PROJ002.1.3.01.01;1042;RECEITA;114923.43;208298.59;C
31/07/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;762.14;209060.73;C
31/07/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;762.14;209822.88;C
01/08/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;10005.13;199817.75;C
14/08/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;136.01;199681.74;C
16/08/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;1512.09;198169.65;C
30/08/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;897.10;199066.75;C
30/08/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;897.10;199963.85;C
27/09/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;5000.00;194963.85;C
30/09/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;774.59;195738.43;C
30/09/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;774.59;196513.02;C
04/10/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;18190.95;178322.07;C
31/10/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;826.49;179148.56;C
31/10/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;826.49;179975.05;C
01/11/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;20000.00;159975.05;C
14/11/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;20000.00;139975.05;C
28/11/2024;INT RESGATE TRUST DI;Transferência para conta [15002-5] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1042;DESPESA;6000.00;133975.05;C
29/11/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;610.34;134585.39;C
29/11/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;610.34;135195.73;C
31/12/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ001.1.3.01.02;1042;RECEITA;560.10;135755.83;C
31/12/2024;REND TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;PROJ002.1.3.01.02;1042;RECEITA;560.10;136315.92;C
